,datetime,open,high,low,close,volume
0,2025-02-27 00:00:00,202.6,204.53,202.12,202.71,56.2619
1,2025-02-27 00:30:00,202.76,205.35,201.12,202.72,58.7677
2,2025-02-27 01:00:00,202.69,207.14,201.12,206.47,77.3932
3,2025-02-27 01:30:00,206.52,207.04,205.01,205.96,55.9933
4,2025-02-27 02:00:00,205.85,208.06,205.48,207.22,49.5952
5,2025-02-27 02:30:00,207.22,207.29,203.93,204.51,31.3668
6,2025-02-27 03:00:00,204.5,205.82,203.94,205.02,16.6761
7,2025-02-27 03:30:00,205.02,206.34,204.66,205.4,22.4482
8,2025-02-27 04:00:00,205.39,206.11,203.39,203.68,24.3369
9,2025-02-27 04:30:00,203.69,204.26,202.33,203.83,20.7077
10,2025-02-27 05:00:00,203.82,205.89,203.42,203.81,34.428
11,2025-02-27 05:30:00,203.81,206.72,203.81,206.06,49.0499
12,2025-02-27 06:00:00,205.93,206.78,205.18,206.35,19.1345
13,2025-02-27 06:30:00,206.38,208.35,206.31,207.58,55.6768
14,2025-02-27 07:00:00,207.6,208.72,206.76,208.7,32.8229
15,2025-02-27 07:30:00,208.67,209.13,207.63,207.63,26.7485
16,2025-02-27 08:00:00,207.58,208.01,206.97,207.85,32.4132
17,2025-02-27 08:30:00,207.95,208.35,206.62,206.81,34.1092
18,2025-02-27 09:00:00,206.81,208.21,206.76,208.01,53.1863
19,2025-02-27 09:30:00,208.01,209.07,206.43,207.75,99.8629
20,2025-02-27 10:00:00,207.74,209.31,206.72,209.15,126.8314
21,2025-02-27 10:30:00,209.1,209.94,208.49,209.32,47.4318
22,2025-02-27 11:00:00,209.31,209.54,207.47,207.56,39.7864
23,2025-02-27 11:30:00,207.48,207.82,205.45,205.96,31.347
24,2025-02-27 12:00:00,205.98,206.34,204.57,206.08,29.3725
25,2025-02-27 12:30:00,206.07,207.43,205.95,206.27,36.8252
26,2025-02-27 13:00:00,206.26,207.9,206.14,206.92,25.5601
27,2025-02-27 13:30:00,206.85,208.17,205.25,206.03,46.7271
28,2025-02-27 14:00:00,206.02,206.85,204.07,206.33,27.822
29,2025-02-27 14:30:00,206.33,207.53,202.12,202.41,49.2082
